"SourceAgency","Reporting_Year","Environment","Category","ConfirmedLatitude","ConfirmedLongitude","Incident_Date","Casualty_At_Risk","Casualty_Lives_Assisted","Casualty_Lives_Rescued","Casualty_Lives_Saved","Casualty_Perished","Police_Event","date","year","flag"
"RCCNZ","2013-2014","Marine","Cat 1",-36.0840003,174.5985018,2014-01-01,0,0,0,0,0,NA,2014-01-01,2014,"loc"
"RCCNZ","2011-2012","Marine","Cat 1",-46.7473323,168.486332,2012-01-02,5,0,3,0,2,NA,2012-01-01,2012,"loc"
"RCCNZ","2012-2013","Marine","Cat 1",-39.3801702,176.909328,2012-12-31,0,0,0,0,0,NA,2012-12-01,2013,"loc"
"RCCNZ","2017-2018","Marine","Cat 1",-40.948669,174.136828,2018-01-01,0,0,0,0,0,NA,2018-01-01,2018,"loc"
"RCCNZ","2011-2012","Marine","Cat 1",-39.0833361,173.900003,2012-01-02,1,1,0,0,0,NA,2012-01-01,2012,"loc"
"RCCNZ","2014-2015","Marine","Cat 1",-37.5475027,178.1296663,2015-01-01,0,0,0,0,0,NA,2015-01-01,2015,"loc"
"RCCNZ","2017-2018","Marine","Cat 1",-39.866664,174.500001,2018-01-02,0,0,0,0,0,NA,2018-01-01,2018,"loc"
"RCCNZ","2014-2015","Marine","Cat 1",-39.834163,177.0275024,2015-01-01,0,0,0,0,0,NA,2015-01-01,2015,"loc"
"RCCNZ","2011-2012","Marine","Cat 1",-33.9333336,173.4416672,2012-01-03,0,0,0,0,0,NA,2012-01-01,2012,"loc"
"RCCNZ","2014-2015","Marine","Cat 1",-39.415498,176.917504,2015-01-01,0,0,0,0,0,NA,2015-01-01,2015,"loc"
"RCCNZ","2013-2014","Marine","Cat 1",-35.1988325,174.1501614,2014-01-01,0,0,0,0,0,NA,2014-01-01,2014,"loc"
"RCCNZ","2016-2017","Marine","Cat 1",-34.9790037,173.4960047,2017-01-01,0,0,0,0,0,NA,2017-01-01,2017,"loc"
"RCCNZ","2012-2013","Marine","Cat 1",-39.4148296,173.784672,2013-01-01,0,0,0,0,0,NA,2013-01-01,2013,"loc"
"RCCNZ","2015-2016","Marine","Cat 1",-35.9583321,173.7208368,2016-01-01,0,0,0,0,0,NA,2016-01-01,2016,"loc"
"RCCNZ","2017-2018","Marine","Cat 1",-36.599323,175.772042,2018-01-04,0,0,0,0,0,NA,2018-01-01,2018,"loc"
"RCCNZ","2012-2013","Marine","Cat 1",-36.3124991,175.476667,2013-01-02,5,0,0,0,0,NA,2013-01-01,2013,"loc"
"RCCNZ","2017-2018","Marine","Cat 1",-41.141667,174.275003,2018-01-05,0,0,0,0,0,NA,2018-01-01,2018,"loc"
"RCCNZ","2010-2011","Marine","Cat 1",-38.1712097615641,163.036747224645,2011-01-01,4,4,0,0,0,NA,2011-01-01,2011,"no_loc"
"RCCNZ","2012-2013","Marine","Cat 1",-34.7788308,173.564838,2013-01-05,3,0,0,0,0,NA,2013-01-01,2013,"loc"
"RCCNZ","2010-2011","Marine","Cat 1",-38.1712097615641,163.036747224645,2011-01-01,0,0,0,0,0,NA,2011-01-01,2011,"no_loc"
"RCCNZ","2012-2013","Marine","Cat 1",-41.958836,172.1144947,2013-01-05,3,0,3,0,0,NA,2013-01-01,2013,"loc"
"RCCNZ","2012-2013","Marine","Cat 1",-37.8500003,177.5833364,2013-01-06,1,0,0,0,1,NA,2013-01-01,2013,"loc"
